titles,community,price,sqfootage
3 Bedroom | Big plot | Brand new | Town Square,"Safi, NSHAMA Town Square","AED 1,300,800","2,022"
Beautiful A1 for Sale in Alvorada for an Investor,Arabian Ranches,"AED 3,299,999","3,765"
Beautiful Lake  road View corner plot 3 bedroom plus study,"The Springs 4, The Springs","AED 1,950,000","2,230"
Cheapest 3 Bedroom End Unit in the market,"Casa Dora, Serena","AED 1,299,999","2,270"
On the Green Belt | Near Pool  Park|3BR  TH,"Noor Townhouses, NSHAMA Town Square","AED 1,124,999","2,190"
NO COMMISSION / 3 BEDROOM/ GOLF COURSE \ OFFPLAN / PAY 5% UPON BOOKING / BOOK NOW !,"Golf Grove, Dubai Hills Estate","AED 3,000,000","2,930"
Amazing Upgraded 3 BR Duplex Marina view,Dubai Marina,"AED 2,699,999","2,631"
Corner 3 BR + M | Well maintained | Fully snagged,"Royal Golf Boutique Villas, Jumeirah Golf Estates","AED 1,900,000","1,931"
Ready to Move 3-BED Room Maid Corner unit Available,"Casa Dora, Serena","AED 1,300,000","3,500"
Type E1 | 3Beds+Maids | Multiple villas,Dubai Hills Estate,"AED 2,650,000","4,590"
"Type 2M | 3mins To Pool,Park | 3Bed+Maid",Reem,"AED 1,400,000","2,325"
Close to Pool  Park | Type 2M | 3Bed+Maid,"Maple 1, Maple at Dubai Hills Estate","AED 1,799,999","2,228"
Type 2M | VOT | Single row | Upgraded Garden,Reem,"AED 1,550,000","2,385"
3 Beds +Maids Room|Luxurious Style|Spacious Layout,"JVC District 11, JVC Jumeirah Village Circle","AED 1,800,000","1,878"
